episode,train_return,eval_return,epsilon,loss,llm_full_response
1,-302.3370154675353,-568.236886424473,0.993664,nan,N/A
2,-275.04109717654353,-568.236886424473,0.9890605,nan,N/A
3,-284.2406626616132,-568.236886424473,0.9852985,nan,N/A
4,23.984327013744675,-568.236886424473,0.980497,nan,N/A
5,-414.2816580054639,-568.236886424473,0.9747055,3.510505893013694,N/A
6,-96.48039955440383,-978.0722755431652,0.969211,3.250163797859673,N/A
7,-317.9153707677927,-205.436015163392,0.96436,2.669504475836851,N/A
8,-356.745570568637,-99.90295838254876,0.9593605,2.070363189324294,N/A
9,-130.55318615379613,-89.09043098303023,0.953668,1.9116427659988404,N/A
10,-208.0009270526363,-109.00223446630173,0.9482725,1.7346594303572944,N/A
11,-92.12137834722222,-47.84883481905062,0.9439165,1.6737375059588389,N/A
12,-181.64882281743127,-117.97347667239642,0.9407485,1.5369380936026573,N/A
13,-180.56496247950926,-99.74680082292392,0.93664,1.517407944762563,N/A
14,-327.38967341946545,-125.2047907109364,0.9326305,1.6751915786737277,N/A
15,-316.33379006742064,-76.9378569464117,0.9287695,1.5460787144226906,N/A
16,-239.33635108494718,-77.79346584305469,0.9231265,1.6427923433090512,N/A
17,-176.95636084681405,-69.78076811523621,0.9183250000000001,1.6058185189655148,N/A
18,-136.85870288193823,-89.54866300295255,0.9120385,1.4233183778646423,N/A
19,-96.91351653330418,20.607746597376256,0.9088705,1.4667353141121566,N/A
20,-235.96394690789577,-36.81735625369859,0.9036235,1.3392460208456471,N/A
21,-114.04334853637194,-35.75932688632257,0.8998615,1.3282051562870805,N/A
22,-168.49308362627676,-68.30705430855815,0.896545,1.5876974312227163,N/A
23,-124.51619743772953,-98.23489175006901,0.8896645,1.355653886957992,N/A
24,-108.45367103696972,-54.95843940769064,0.8851105,1.4189026287716369,N/A
25,-63.56563994120531,-83.86444338242256,0.881596,1.396561117449277,N/A
26,-63.918482037550746,-44.78094643256925,0.8774875,1.4055029853998897,N/A
27,-123.95882091353918,2.534015565170452,0.8711515000000001,1.4708720557391644,N/A
28,-121.99718300559108,-92.76724069420632,0.8672905,1.4994508433036315,N/A
29,-13.724528543299627,-26.487711824886304,0.860905,1.4868222923241845,N/A
30,-114.08056675607699,-68.42185395850935,0.8570935,1.418790531235856,N/A
31,-85.65316701925863,-46.730528956151815,0.8536285,1.520838797731059,N/A
32,-226.23441032330558,-72.52273774184088,0.8499655,1.4442128897518725,N/A
33,-102.56207991140684,-43.03951540700754,0.8443225,1.304198393042673,N/A
34,2.080918133218006,-20.405842716457915,0.83962,1.4449886671806638,N/A
35,-130.05338324863638,-55.62250065968112,0.8324425,1.5080497947232476,N/A
36,-106.17761320857234,-73.39910071067965,0.8274925,1.5543709090352058,N/A
37,-80.86729178822122,-55.56790744338623,0.824275,1.664286811535175,N/A
38,-244.22881721579807,-64.22130327617201,0.8174440000000001,1.4667536210322725,N/A
39,-91.13041306013503,-70.70485314378718,0.812692,1.548325568748017,N/A
40,-100.73168200377646,-90.46082662691171,0.8069500000000001,1.540849035926934,N/A
41,-107.23861430316542,-81.52652287935965,0.8035840000000001,1.4649099264951313,"{
  ""policy_type"": ""rules"",
  ""name"": ""policy_ep_40"",
  ""rules"": [
    {
      ""if"": [
        {""feature"": ""vy"", ""op"": ""<"", ""value"": -0.5},
        {""feature"": ""theta"", ""op"": "">"", ""value"": 0.1}
      ],
      ""then"": 1
    },
    {
      ""if"": [
        {""feature"": ""vy"", ""op"": ""<"", ""value"": -0.5},
        {""feature"": ""theta"", ""op"": ""<"", ""value"": -0.1}
      ],
      ""then"": 2
    },
    {
      ""if"": [
        {""feature"": ""vx"", ""op"": "">"", ""value"": 0.5},
        {""feature"": ""theta"", ""op"": "">"", ""value"": 0.1}
      ],
      ""then"": 3
    },
    {
      ""if"": [
        {""feature"": ""x"", ""op"": ""<"", ""value"": 0.1},
        {""feature"": ""left_leg"", ""op"": ""=="", ""value"": 1}
      ],
      ""then"": 0
    },
    {
      ""if"": [
        {""feature"": ""x"", ""op"": ""<"", ""value"": 0.1},
        {""feature"": ""right_leg"", ""op"": ""=="", ""value"": 1}
      ],
      ""then"": 0
    }
  ],
  ""default_action"": 0,
  ""notes"": ""This policy draws inspiration from the successful behaviors observed in previous trajectories where the agent consistently managed to land safely when the vertical velocity (vy) was low and the lander angle (theta) was controlled. The first rule encourages firing the left orientation engine when descending rapidly while tilted right, based on successful landings with similar conditions. The second rule promotes using the main engine for rapid descents while tilted left, which is crucial for stabilizing the landing. The third rule addresses excessive horizontal velocity, prompting the use of the right orientation engine to correct course. The last two rules ensure that if the lander is close to the landing pad and one leg is already in contact, it does nothing to maintain stability. This new policy is expected to improve upon previous evaluations which had returns averaging around 50 with varied coverage, particularly in regions of high vertical descent."" 
}"
42,7.535376574157041,-38.56904216230256,0.7953175,1.3938005804837108,N/A
43,-258.15369060322524,-64.83705902425201,0.792694,1.5243795848679993,N/A
44,-280.16108164033164,-51.85195372387856,0.7876945,1.4773826314376133,N/A
45,-106.61813539789334,-20.300127670451356,0.782101,1.477373363433686,N/A
46,-301.58683933898556,-73.16445594029736,0.7789825,1.6064868044285547,N/A
47,-78.8612328697853,-49.89188785067669,0.775171,1.4907697996535858,N/A
48,-431.8823707015623,-24.808421174539884,0.7696765,1.5897090171908472,N/A
49,-284.0446430885039,-86.46812614607816,0.76537,1.643962693625483,N/A
50,-46.59813636842544,-71.58099579201927,0.757054,1.765467174706005,N/A
51,-265.65257179133636,-98.20387548417527,0.7517575000000001,1.6543507365701355,N/A
52,-71.27902016448091,-115.96631070576538,0.742996,1.8439972858644476,N/A
53,-35.73695856079546,-132.88285596708482,0.736066,1.889671459368297,N/A
54,-69.73197652052788,-101.31996394568279,0.7308685,1.8128427695660365,N/A
55,-42.0192507061557,-108.4390088505479,0.726958,1.7357320917558066,N/A
56,-412.0935333572444,-105.52510227790121,0.7214635,1.7868296061013196,N/A
57,-106.36439058049237,-105.57744261406656,0.7154245,1.9741765993540403,N/A
58,-188.33711087624408,-94.27293711877246,0.709534,1.738149526489883,N/A
59,-256.6763373698915,-51.744186909666794,0.703792,1.8867974271034371,N/A
60,-319.27368329712806,-76.18068694995874,0.699238,1.8813981391165568,N/A
61,-289.6269237955946,-99.97447420627478,0.6709240000000001,1.945443207932102,"{
  ""policy_type"": ""rules"",
  ""name"": ""policy_ep_60"",
  ""rules"": [
    {
      ""if"": [
        {
          ""feature"": ""vy"",
          ""op"": ""<"",
          ""value"": -0.5
        },
        {
          ""feature"": ""theta"",
          ""op"": "">"",
          ""value"": 0.1
        }
      ],
      ""then"": 1
    },
    {
      ""if"": [
        {
          ""feature"": ""vy"",
          ""op"": ""<"",
          ""value"": -0.5
        },
        {
          ""feature"": ""theta"",
          ""op"": ""<"",
          ""value"": -0.1
        }
      ],
      ""then"": 2
    },
    {
      ""if"": [
        {
          ""feature"": ""vx"",
          ""op"": "">"",
          ""value"": 0.5
        },
        {
          ""feature"": ""theta"",
          ""op"": "">"",
          ""value"": 0.1
        }
      ],
      ""then"": 3
    },
    {
      ""if"": [
        {
          ""feature"": ""x"",
          ""op"": ""<"",
          ""value"": 0.1
        },
        {
          ""feature"": ""left_leg"",
          ""op"": ""=="",
          ""value"": 1
        }
      ],
      ""then"": 0
    },
    {
      ""if"": [
        {
          ""feature"": ""x"",
          ""op"": ""<"",
          ""value"": 0.1
        },
        {
          ""feature"": ""right_leg"",
          ""op"": ""=="",
          ""value"": 1
        }
      ],
      ""then"": 0
    },
    {
      ""if"": [
        {
          ""feature"": ""vy"",
          ""op"": ""<"",
          ""value"": 0.1
        },
        {
          ""feature"": ""theta"",
          ""op"": "">="",
          ""value"": -0.1
        },
        {
          ""feature"": ""theta"",
          ""op"": ""<="",
          ""value"": 0.1
        }
      ],
      ""then"": 2
    }
  ],
  ""default_action"": 0,
  ""notes"": ""This new policy builds upon Policy-1 (evaluated return: -76.18) by retaining its successful rules while adding a new rule to encourage firing the main engine when the vertical velocity (vy) is low and the lander angle (theta) is close to horizontal. This adjustment aims to promote a gentle descent, which is a behavior observed in successful trajectories. The coverage statistics from Policy-1 indicated that the existing rules were rarely activated, prompting the addition of a rule focused on stabilizing descent when the lander is in a favorable position."" 
}"
62,-235.0458395336377,-108.8929200122836,0.6546879999999999,1.949610770293852,N/A
63,-225.92293430442348,-87.30675737273013,0.6440455,1.9643532722495323,N/A
64,-249.41667341120876,-69.11391775831113,0.617464,2.068484400737219,N/A
65,-185.80605840801326,-113.57481300836021,0.6042475,2.023008145643084,N/A
66,-256.5901295209819,-129.35323740910798,0.594001,1.9217757527954913,N/A
67,-218.9807288539887,-98.8307739176595,0.560341,1.8847130561137901,N/A
68,-139.30842314318988,-104.30975582340064,0.5502925000000001,2.09971012079657,N/A
69,-146.45362798214413,-122.280350420161,0.5393034999999999,2.144521416978793,N/A
70,-125.8045165312142,-96.98115434711553,0.53173,2.0258009192211177,N/A
71,-166.3085569240817,-128.67265553170571,0.513712,1.8504199029488877,N/A
72,-148.12307907502526,-129.11853463534968,0.47698300000000005,1.816259850951218,N/A
73,-73.4567681871553,-100.58199376364087,0.4684195,1.8143649595665794,N/A
74,-106.52340610582947,-125.86702033563225,0.4189195,1.6943827604651451,N/A
75,-166.70082478477684,-101.33111051120079,0.4010005,1.5920909135216508,N/A
76,-90.23427825979354,-130.64416303687415,0.39357549999999997,1.3805800060431161,N/A
77,-159.61153826110564,-122.03640746014568,0.3813985,1.555922059872286,N/A
78,-81.47280243544088,-121.04737035846884,0.3733795,1.6847662213775847,N/A
79,-50.96581708392927,-112.76514482820173,0.3238795000000001,1.4531157170832156,N/A
80,-52.970006938128826,-90.73207453461345,0.2743795,1.2811891358494758,N/A
81,-224.93893009828776,-91.45166777206676,0.23497749999999995,0.9388720945422374,"{
  ""policy_type"": ""rules"",
  ""name"": ""policy_ep_80"",
  ""rules"": [
    {
      ""if"": [
        {
          ""feature"": ""vy"",
          ""op"": ""<"",
          ""value"": -0.5
        },
        {
          ""feature"": ""theta"",
          ""op"": "">"",
          ""value"": 0.1
        }
      ],
      ""then"": 1
    },
    {
      ""if"": [
        {
          ""feature"": ""vy"",
          ""op"": ""<"",
          ""value"": -0.5
        },
        {
          ""feature"": ""theta"",
          ""op"": ""<"",
          ""value"": -0.1
        }
      ],
      ""then"": 2
    },
    {
      ""if"": [
        {
          ""feature"": ""vx"",
          ""op"": "">"",
          ""value"": 0.5
        },
        {
          ""feature"": ""theta"",
          ""op"": "">"",
          ""value"": 0.1
        }
      ],
      ""then"": 3
    },
    {
      ""if"": [
        {
          ""feature"": ""vy"",
          ""op"": ""<"",
          ""value"": 0.1
        },
        {
          ""feature"": ""theta"",
          ""op"": "">="",
          ""value"": -0.1
        },
        {
          ""feature"": ""theta"",
          ""op"": ""<="",
          ""value"": 0.1
        }
      ],
      ""then"": 2
    },
    {
      ""if"": [
        {
          ""feature"": ""x"",
          ""op"": ""<"",
          ""value"": 0.1
        },
        {
          ""feature"": ""left_leg"",
          ""op"": ""=="",
          ""value"": 1
        }
      ],
      ""then"": 0
    },
    {
      ""if"": [
        {
          ""feature"": ""x"",
          ""op"": ""<"",
          ""value"": 0.1
        },
        {
          ""feature"": ""right_leg"",
          ""op"": ""=="",
          ""value"": 1
        }
      ],
      ""then"": 0
    }
  ],
  ""default_action"": 0,
  ""notes"": ""This new policy is influenced by Policy-2, which had an evaluated return of -90.73 and coverage statistics showing 96.25% for the condition 'vy < 0.1 AND theta >= -0.1 AND theta <= 0.1'. By retaining the rules that encouraged safe landings and modifying the coverage of successful conditions, this policy aims to improve the DQN agent's performance by leveraging successful trajectories while maintaining the core structure of previous effective rules.""
}"
82,-77.64170937376201,-88.78398960340678,0.18547750000000007,0.8637316959798336,N/A
83,-89.39086483959638,-88.17197271266895,0.13597749999999997,0.6942273342013359,N/A
84,-57.04021129242429,-75.95302689211337,0.0864775000000001,0.6471542350947856,N/A
85,-117.43054209149035,-85.04582243690534,0.07796349999999996,0.6104694939283437,N/A
86,-55.020075016522206,-59.509793927199,0.028463500000000086,0.5773823340535164,N/A
87,-25.401101772266177,-36.90284482692916,0.01,0.5395338878929615,N/A
88,-41.99097564571651,-36.83711798897943,0.01,0.4729404670894146,N/A
89,-44.43589635950521,-29.613636535751674,0.01,0.4318957367390394,N/A
90,-49.395371329328874,-40.12325169968686,0.01,0.38541854341328147,N/A
91,-55.94955723867422,-28.203927470281847,0.01,0.3684124177247286,N/A
92,-35.74946015831939,-35.2677017001786,0.01,0.358332914352417,N/A
93,-33.582220398982884,-28.157369766157068,0.01,0.33196333108842374,N/A
94,-17.76180323765934,-22.80553630429962,0.01,0.32512895232439043,N/A
95,-15.673796565602405,-37.635558687821955,0.01,0.31124520996212957,N/A
96,-35.910058481822624,-24.709961850102975,0.01,0.2920783109068871,N/A
97,14.376373067411652,-28.420512181924714,0.01,0.29169336292147635,N/A
98,-7.723698337052834,-22.274213757147265,0.01,0.29698672764003275,N/A
99,-34.66632703743081,-35.2926558832931,0.01,0.2804990164488554,N/A
100,-36.83172008113716,-29.400461610279763,0.01,0.2748026808202267,N/A
101,-89.02118838828896,-25.79995950601012,0.01,0.26995723557315376,"{
  ""policy_type"": ""rules"",
  ""name"": ""policy_ep_100"",
  ""rules"": [
    {
      ""if"": [
        {
          ""feature"": ""vy"",
          ""op"": ""<"",
          ""value"": -0.5
        },
        {
          ""feature"": ""theta"",
          ""op"": "">"",
          ""value"": 0.1
        }
      ],
      ""then"": 1
    },
    {
      ""if"": [
        {
          ""feature"": ""vy"",
          ""op"": ""<"",
          ""value"": -0.5
        },
        {
          ""feature"": ""theta"",
          ""op"": ""<"",
          ""value"": -0.1
        }
      ],
      ""then"": 2
    },
    {
      ""if"": [
        {
          ""feature"": ""vx"",
          ""op"": "">"",
          ""value"": 0.5
        },
        {
          ""feature"": ""theta"",
          ""op"": "">"",
          ""value"": 0.1
        }
      ],
      ""then"": 3
    },
    {
      ""if"": [
        {
          ""feature"": ""vy"",
          ""op"": ""<"",
          ""value"": 0.1
        },
        {
          ""feature"": ""theta"",
          ""op"": "">="",
          ""value"": -0.1
        },
        {
          ""feature"": ""theta"",
          ""op"": ""<="",
          ""value"": 0.1
        }
      ],
      ""then"": 2
    },
    {
      ""if"": [
        {
          ""feature"": ""x"",
          ""op"": ""<"",
          ""value"": 0.1
        },
        {
          ""feature"": ""left_leg"",
          ""op"": ""=="",
          ""value"": 1
        }
      ],
      ""then"": 0
    },
    {
      ""if"": [
        {
          ""feature"": ""x"",
          ""op"": ""<"",
          ""value"": 0.1
        },
        {
          ""feature"": ""right_leg"",
          ""op"": ""=="",
          ""value"": 1
        }
      ],
      ""then"": 0
    }
  ],
  ""default_action"": 0,
  ""notes"": ""This new policy is influenced by Policy-3, which had an evaluated return of -29.40 and coverage statistics showing that the condition 'vy < 0.1 AND theta >= -0.1 AND theta <= 0.1' was activated 92.45% of the time. This indicates that the agent was often in a state where it was descending gently and nearly level. The successful rules from Policy-3 have been preserved while ensuring that the exploration policy remains effective in guiding the agent towards successful landings.""
}"
102,-14.17826564551986,-27.377064628636088,0.01,0.29015424416959285,N/A
103,-5.526871128395236,-24.170771293185318,0.01,0.27985443191230297,N/A
104,-24.704578475935456,-22.961319325856937,0.01,0.28675163874030113,N/A
105,-34.934984823967206,-26.327307849966143,0.01,0.27824177230894565,N/A
106,-36.75434998112376,-24.650215496949947,0.01,0.26722066931426525,N/A
107,7.885694183091465,-23.696511789395863,0.01,0.26457466357946396,N/A
108,16.425072806252917,-23.772737406778145,0.01,0.24886018893122672,N/A
109,-49.167948819838415,-22.129431850806952,0.01,0.2411006601303816,N/A
110,-18.687317462521353,-18.571982123150843,0.01,0.2363545789271593,N/A
111,-40.81661561409527,-21.48496541603517,0.01,0.22632593446969987,N/A
112,-2.8536587689141433,-25.218336201014772,0.01,0.2107301395535469,N/A
113,-38.62237730467941,-22.168824657818902,0.01,0.19605395212769508,N/A
114,-18.645558113108578,-26.05295802661484,0.01,0.19415582156926395,N/A
115,7.589924789938062,-24.34316551393592,0.01,0.19102422396838664,N/A
116,-23.50182822106458,-22.32721880600692,0.01,0.1862682303711772,N/A
117,-6.519438033359819,-24.850825494825404,0.01,0.17823098729550838,N/A
118,-10.60093946183517,-26.76980065438182,0.01,0.17569061253964902,N/A
119,-21.245407479890783,-26.393620087746605,0.01,0.17410172076523303,N/A
120,4.947006085127996,-25.468468784586392,0.01,0.16974052051454783,N/A
