episode,train_return,eval_return,epsilon,loss
1,-3863,-200.0,0.99604,1627.9078046906561
2,-2873,-275.24,0.99208,1200.0811337280275
3,-1388,-200.0,0.98812,1016.2773980712891
4,-2180,-200.0,0.98416,823.6965098571777
5,-1388,-200.0,0.9802,722.0315269470215
6,-2180,-200.0,0.97624,682.0400039672852
7,-2081,-202.97,0.97228,619.5467696380615
8,-2180,-209.9,0.96832,679.3916928863525
9,-1487,-226.73,0.96436,625.8334738540649
10,-2180,-238.61,0.9604,662.4406392669678
11,-1388,-200.0,0.95644,660.0319565582275
12,-1685,-224.75,0.95248,592.2001661586761
13,-1487,-235.64,0.94852,579.5684982299805
14,-1685,-200.0,0.94456,599.6604824829102
15,-1586,-204.95,0.9406,572.3238132095337
16,-2378,-243.56,0.93664,572.2070566558838
17,-2378,-228.71,0.93268,606.1212247467041
18,-2279,-233.66,0.92872,593.6480880355834
19,-723,-200.0,0.92476,599.8831465373668
20,-1388,-200.0,0.9208,569.6524906921387
21,-2279,-200.0,0.91684,595.0457286834717
22,-1586,-200.0,0.91288,594.4786213302613
23,-2873,-200.0,0.90892,583.1288202667237
24,-1289,-221.78,0.90496,596.6345175552368
25,-1487,-200.0,0.901,583.6190058898926
26,-1487,-200.0,0.8970400000000001,617.781650314331
27,-1487,-200.0,0.89308,591.6580680847168
28,-992,-200.0,0.88912,511.9147323608398
29,-2774,-200.0,0.88516,540.5587075805664
30,-1586,-200.0,0.8812,565.0472105789185
31,-2576,-200.0,0.87724,557.7368816375732
32,-2081,-200.0,0.8732800000000001,599.8625299835205
33,-2279,-200.0,0.86932,592.1460761052371
34,-1586,-200.0,0.86536,587.9655256271362
35,-1784,-301.97,0.8613999999999999,560.6282847595215
36,-1190,-205.94,0.85744,561.5300064086914
37,-794,-200.0,0.85348,544.7638984870911
38,-893,-200.0,0.84952,560.4468773651123
39,-1685,-200.0,0.84556,556.0373037719727
40,-1190,-200.0,0.8416,579.0881299209594
41,-2180,-156.12,0.8376399999999999,544.9704244613647
42,-2279,-166.32,0.83368,573.584038105011
43,-1091,-198.62,0.82972,564.296923942566
44,-1091,-200.0,0.82576,557.5759155654907
45,-1982,-200.0,0.8218,544.4027519989014
46,-2477,-200.0,0.81784,538.6753216171264
47,-695,-200.0,0.8138799999999999,532.2211630058289
48,-1190,-126.73,0.80992,553.5266986083984
49,-1685,-90.27,0.80596,501.200643081665
50,-1190,-74.02,0.802,571.6193909454346
51,-1487,-200.0,0.7980400000000001,525.3046695613862
52,-2180,-200.0,0.79408,516.6576009750366
53,-695,-161.36,0.79012,514.212866821289
54,-893,-190.73,0.78616,522.6951511383056
55,-1190,-78.23,0.7822,512.4493114662171
56,-794,-88.36,0.77824,508.06583066940306
57,-1289,-133.07,0.77428,489.1129923248291
58,-893,-130.01,0.77032,480.2127003809065
59,-559,-154.03,0.76636,475.5768264532089
60,-1091,-200.0,0.7624,495.99244113922117
61,-1487,-194.12,0.75844,474.86343433380125
62,-1388,-84.89,0.75448,479.8574132156372
63,-893,-158.64,0.75052,476.066033821106
64,-1982,-153.65,0.74656,452.4230874443054
65,-1289,-126.95,0.7425999999999999,473.74026555538177
66,-794,-200.0,0.73864,477.20529064178464
67,-1190,-156.37,0.73468,484.2634821510315
68,-695,-154.96,0.73072,447.73269100561737
69,-992,-169.98,0.72676,388.78111117362977
70,-1586,-84.02,0.7228,437.8698648643494
71,-1982,-200.0,0.71884,432.49039439201357
72,-2081,-200.0,0.71488,435.1689206981659
73,-794,-197.29,0.71092,438.79662130355837
74,-992,-171.39,0.70696,442.1870433616638
75,-1982,-156.89,0.7030000000000001,435.09767335891723
76,-1289,-169.98,0.69904,399.7797610473633
77,-1487,-187.27,0.69508,422.0516860103607
78,-893,-158.56,0.69112,416.7259587478638
79,-1289,-163.5,0.68716,405.5248515805602
80,-1024,-200.0,0.6832,430.5710939249598
